Year,Total,Total%Change,Religion,Religion%Change,Education,Education%Change,HumanServices,HumanServices%Change,Health,Health%Change,PublicSocietyBenefit,PublicSocietyBenefit%Change,ArtsCultureHumanities,ArtsCultureHumanities%Change,InternationalAffairs,InternationalAffairs%Change,EnvironmentAnimals,EnvironmentAnimals%Change,GiftstoFoundations,GiftstoFoundations%Change,GiftstoIndividuals,Unallocated,GiftstoIndividuals%Change
1977,142.4,3.8,68.67,12.4,15.73,1.7,16.58,-4.5,15.89,-1.3,5.22,-18.2,7.44,12.2,,,,,,,,12.86,
1978,144.93,1.8,68.95,0.4,16.23,3.2,15.86,-4.4,15.41,-3.1,5.64,8.0,7.03,-5.6,,,,,6.05,,,9.77,
1979,145.6,0.5,68.12,-1.2,15.87,-2.2,14.56,-8.2,14.46,-6.2,6.15,9.1,6.69,-4.8,,,,,7.46,23.4,,12.29,
1980,144.65,-0.7,66.12,-2.9,15.08,-5.0,13.24,-9.1,13.33,-7.8,6.78,10.3,6.31,-5.7,,,,,5.89,-21.1,,17.91,
1981,149.03,3.0,67.53,2.1,15.99,6.0,12.37,-6.5,12.48,-6.3,5.74,-15.3,6.15,-2.5,,,,,6.44,9.4,,22.32,
1982,150.15,0.8,71.28,5.5,12.55,-21.5,7.32,-40.9,7.77,-37.7,8.15,42.0,2.46,-59.9,,,,,10.16,57.7,,26.14,
1983,155.56,3.6,78.36,9.9,13.12,4.5,7.48,2.3,8.52,9.6,9.28,13.8,3.47,40.8,,,,,6.67,-34.4,,24.76,
1984,161.82,4.0,83.88,7.0,15.03,14.6,7.88,5.3,9.13,7.2,11.04,19.0,3.99,14.9,,,,,7.93,18.9,,18.64,
1985,163.36,1.0,87.07,3.8,15.38,2.3,8.39,6.4,10.46,14.5,9.32,-15.6,4.31,8.0,,,,,10.78,36.0,,13.63,
1986,186.17,14.0,93.21,7.1,18.92,23.0,8.43,0.5,9.77,-6.6,17.13,83.8,5.59,29.8,,,,,11.09,2.9,,16.97,
1987,177.33,-4.8,93.86,0.7,17.43,-7.9,8.61,2.1,10.16,4.0,10.48,-38.8,5.61,0.3,3.13,,1.81,,11.13,0.4,,15.1,
1988,182.49,2.9,93.58,-0.3,18.22,4.5,9.22,7.2,11.59,14.0,10.78,2.8,6.24,11.2,3.03,-3.3,1.95,7.5,8.15,-26.8,,19.73,
1989,194.37,6.5,94.46,0.9,22.36,22.7,12.89,39.8,12.69,9.6,11.9,10.4,6.76,8.4,3.24,7.2,2.14,9.6,8.72,7.0,,19.2,
1990,184.75,-4.9,93.41,-1.1,22.19,-0.8,12.55,-2.6,14.54,14.5,12.31,3.4,6.92,2.4,3.86,19.2,2.42,13.3,7.19,-17.6,,9.36,
1991,184.62,-0.1,89.99,-3.7,21.78,-1.9,13.5,7.6,13.73,-5.5,12.11,-1.6,6.88,-0.7,2.92,-24.6,2.68,10.8,8.03,11.7,,13.01,
1992,194.41,5.3,89.0,-1.1,23.08,6.0,15.97,18.3,14.88,8.4,12.49,3.1,7.27,5.7,3.7,27.0,2.78,3.6,8.75,9.0,,16.49,
1993,197.82,1.8,89.75,0.8,24.37,5.6,16.41,2.8,14.92,0.2,14.03,12.3,7.23,-0.5,3.29,-11.1,3.04,9.4,10.62,21.4,,14.17,
1994,198.53,0.4,93.32,4.0,23.3,-4.4,15.99,-2.5,14.85,-0.4,13.41,-4.4,7.61,5.2,4.08,24.1,3.29,8.3,10.47,-1.5,,12.2,
1995,198.02,-0.3,93.41,0.1,26.49,13.7,17.16,7.3,28.83,94.1,14.09,5.1,8.51,11.9,4.23,3.6,3.59,9.0,13.61,30.0,,-11.9,
1996,217.05,9.6,96.74,3.6,28.04,5.8,18.71,9.0,28.68,-0.5,14.69,4.2,9.35,9.8,4.67,10.5,4.06,13.3,19.74,45.0,,-7.61,
1997,248.09,14.3,98.79,2.1,33.6,19.8,21.91,17.1,20.8,-27.5,17.15,16.7,10.96,17.3,4.79,2.6,4.44,9.4,21.32,8.0,,14.32,
