Year,variable,value
1977,Total,142.4
1978,Total,144.93
1979,Total,145.6
1980,Total,144.65
1981,Total,149.03
1982,Total,150.15
1983,Total,155.56
1984,Total,161.82
1985,Total,163.36
1986,Total,186.17
1987,Total,177.33
1988,Total,182.49
1989,Total,194.37
1990,Total,184.75
1991,Total,184.62
1992,Total,194.41
1993,Total,197.82
1994,Total,198.53
1995,Total,198.02
1996,Total,217.05
1997,Total,248.09
1998,Total,265.5
1999,Total,299.0
2000,Total,326.91
2001,Total,321.29
2002,Total,317.13
2003,Total,316.4
2004,Total,337.75
2005,Total,367.04
2006,Total,360.02
2007,Total,367.74
2008,Total,341.1
2009,Total,313.95
2010,Total,323.92
2011,Total,325.28
2012,Total,355.1
2013,Total,349.89
2014,Total,370.24
2015,Total,388.91
2016,Total,397.94
2017,Total,410.02
1977,Total%Change,3.8
1978,Total%Change,1.8
1979,Total%Change,0.5
1980,Total%Change,-0.7
1981,Total%Change,3.0
1982,Total%Change,0.8
1983,Total%Change,3.6
1984,Total%Change,4.0
1985,Total%Change,1.0
1986,Total%Change,14.0
1987,Total%Change,-4.8
1988,Total%Change,2.9
1989,Total%Change,6.5
1990,Total%Change,-4.9
1991,Total%Change,-0.1
1992,Total%Change,5.3
1993,Total%Change,1.8
1994,Total%Change,0.4
1995,Total%Change,-0.3
1996,Total%Change,9.6
1997,Total%Change,14.3
1998,Total%Change,7.0
1999,Total%Change,12.6
2000,Total%Change,9.3
2001,Total%Change,-1.7
2002,Total%Change,-1.3
2003,Total%Change,-0.2
2004,Total%Change,6.7
2005,Total%Change,8.7
2006,Total%Change,-1.9
2007,Total%Change,2.1
2008,Total%Change,-7.2
2009,Total%Change,-8.0
2010,Total%Change,3.2
2011,Total%Change,0.4
2012,Total%Change,9.2
2013,Total%Change,-1.5
2014,Total%Change,5.8
2015,Total%Change,5.0
2016,Total%Change,2.3
2017,Total%Change,3.0
1977,Religion,68.67
1978,Religion,68.95
1979,Religion,68.12
1980,Religion,66.12
1981,Religion,67.53
1982,Religion,71.28
1983,Religion,78.36
1984,Religion,83.88
1985,Religion,87.07
1986,Religion,93.21
1987,Religion,93.86
1988,Religion,93.58
1989,Religion,94.46
1990,Religion,93.41
1991,Religion,89.99
1992,Religion,89.0
1993,Religion,89.75
1994,Religion,93.32
1995,Religion,93.41
1996,Religion,96.74
1997,Religion,98.79
1998,Religion,102.63
1999,Religion,104.85
2000,Religion,109.54
2001,Religion,110.57
2002,Religion,113.08
2003,Religion,112.09
2004,Religion,113.56
2005,Religion,114.04
2006,Religion,115.06
2007,Religion,115.61
2008,Religion,111.82
2009,Religion,113.75
2010,Religion,109.65
2011,Religion,110.91
2012,Religion,112.92
2013,Religion,116.19
2014,Religion,120.06
2015,Religion,123.29
2016,Religion,126.45
2017,Religion,127.37
1977,Religion%Change,12.4
1978,Religion%Change,0.4
1979,Religion%Change,-1.2
1980,Religion%Change,-2.9
1981,Religion%Change,2.1
1982,Religion%Change,5.5
1983,Religion%Change,9.9
1984,Religion%Change,7.0
1985,Religion%Change,3.8
1986,Religion%Change,7.1
1987,Religion%Change,0.7
1988,Religion%Change,-0.3
1989,Religion%Change,0.9
1990,Religion%Change,-1.1
1991,Religion%Change,-3.7
1992,Religion%Change,-1.1
1993,Religion%Change,0.8
1994,Religion%Change,4.0
1995,Religion%Change,0.1
1996,Religion%Change,3.6
1997,Religion%Change,2.1
1998,Religion%Change,3.9
1999,Religion%Change,2.2
2000,Religion%Change,4.5
2001,Religion%Change,0.9
2002,Religion%Change,2.3
2003,Religion%Change,-0.9
2004,Religion%Change,1.3
2005,Religion%Change,0.4
2006,Religion%Change,0.9
2007,Religion%Change,0.5
2008,Religion%Change,-3.3
2009,Religion%Change,1.7
2010,Religion%Change,-3.6
2011,Religion%Change,1.2
2012,Religion%Change,1.8
2013,Religion%Change,2.9
2014,Religion%Change,3.3
2015,Religion%Change,2.7
2016,Religion%Change,2.6
2017,Religion%Change,0.7
1977,Education,15.73
1978,Education,16.23
1979,Education,15.87
1980,Education,15.08
1981,Education,15.99
1982,Education,12.55
1983,Education,13.12
1984,Education,15.03
1985,Education,15.38
1986,Education,18.92
1987,Education,17.43
1988,Education,18.22
1989,Education,22.36
1990,Education,22.19
1991,Education,21.78
1992,Education,23.08
1993,Education,24.37
1994,Education,23.3
1995,Education,26.49
1996,Education,28.04
1997,Education,33.6
1998,Education,36.06
1999,Education,39.19
2000,Education,41.01
2001,Education,38.86
2002,Education,37.13
2003,Education,39.43
2004,Education,41.09
2005,Education,43.92
2006,Education,48.72
2007,Education,50.47
2008,Education,40.86
2009,Education,39.94
2010,Education,47.46
2011,Education,46.77
2012,Education,50.02
2013,Education,46.8
2014,Education,51.09
2015,Education,54.89
2016,Education,56.66
2017,Education,58.9
1977,Education%Change,1.7
1978,Education%Change,3.2
1979,Education%Change,-2.2
1980,Education%Change,-5.0
1981,Education%Change,6.0
1982,Education%Change,-21.5
1983,Education%Change,4.5
1984,Education%Change,14.6
1985,Education%Change,2.3
1986,Education%Change,23.0
1987,Education%Change,-7.9
1988,Education%Change,4.5
1989,Education%Change,22.7
1990,Education%Change,-0.8
1991,Education%Change,-1.9
1992,Education%Change,6.0
1993,Education%Change,5.6
1994,Education%Change,-4.4
1995,Education%Change,13.7
1996,Education%Change,5.8
1997,Education%Change,19.8
1998,Education%Change,7.3
1999,Education%Change,8.7
2000,Education%Change,4.7
2001,Education%Change,-5.2
2002,Education%Change,-4.4
2003,Education%Change,6.2
2004,Education%Change,4.2
2005,Education%Change,6.9
2006,Education%Change,10.9
2007,Education%Change,3.6
2008,Education%Change,-19.0
2009,Education%Change,-2.2
2010,Education%Change,18.8
2011,Education%Change,-1.5
2012,Education%Change,6.9
2013,Education%Change,-6.4
2014,Education%Change,9.2
2015,Education%Change,7.4
2016,Education%Change,3.2
2017,Education%Change,4.0
1977,HumanServices,16.58
1978,HumanServices,15.86
1979,HumanServices,14.56
1980,HumanServices,13.24
1981,HumanServices,12.37
1982,HumanServices,7.32
1983,HumanServices,7.48
1984,HumanServices,7.88
