Year,Total,Total%Change,Religion,Religion%Change,Education,Education%Change,HumanServices,HumanServices%Change,Health,Health%Change,PublicSocietyBenefit,PublicSocietyBenefit%Change,ArtsCultureHumanities,ArtsCultureHumanities%Change,InternationalAffairs,InternationalAffairs%Change,EnvironmentAnimals,EnvironmentAnimals%Change,GiftstoFoundations,GiftstoFoundations%Change,GiftstoIndividuals,Unallocated,GiftstoIndividuals%Change
1977,35.21,10.5,16.98,19.7,3.89,8.4,4.1,1.7,3.93,5.1,1.29,-12.8,1.84,19.5,,,,,,,,3.18,
1978,38.57,9.5,18.35,8.1,4.32,11.1,4.22,2.9,4.1,4.3,1.5,16.3,1.87,1.6,,,,,1.61,,,2.6,
1979,43.11,11.8,20.17,9.9,4.7,8.8,4.31,2.1,4.28,4.4,1.82,21.3,1.98,5.9,,,,,2.21,37.3,,3.64,
1980,48.63,12.8,22.23,10.2,5.07,7.9,4.45,3.2,4.48,4.7,2.28,25.3,2.12,7.1,,,,,1.98,-10.4,,6.02,
1981,55.28,13.7,25.05,12.7,5.93,17.0,4.59,3.1,4.63,3.3,2.13,-6.6,2.28,7.5,,,,,2.39,20.7,,8.28,
1982,59.11,6.9,28.06,12.0,4.94,-16.7,2.88,-37.3,3.06,-33.9,3.21,50.7,0.97,-57.5,,,,,4.0,67.4,,10.29,
1983,63.21,6.9,31.84,13.5,5.33,7.9,3.04,5.6,3.46,13.1,3.77,17.4,1.41,45.4,,,,,2.71,-32.3,,10.06,
1984,68.58,8.5,35.55,11.7,6.37,19.5,3.34,9.9,3.87,11.8,4.68,24.1,1.69,19.9,,,,,3.36,24.0,,7.9,
1985,71.69,4.5,38.21,7.5,6.75,6.0,3.68,10.2,4.59,18.6,4.09,-12.6,1.89,11.8,,,,,4.73,40.8,,5.98,
1986,83.25,16.1,41.68,9.1,8.46,25.3,3.77,2.4,4.37,-4.8,7.66,87.3,2.5,32.3,,,,,4.96,4.9,,7.59,
1987,82.2,-1.3,43.51,4.4,8.08,-4.5,3.99,5.8,4.71,7.8,4.86,-36.6,2.6,4.0,1.45,,0.84,,5.16,4.0,,7.0,
1988,88.04,7.1,45.15,3.8,8.79,8.8,4.45,11.5,5.59,18.7,5.2,7.0,3.01,15.8,1.46,0.7,0.94,11.9,3.93,-23.8,,9.52,
1989,98.3,11.7,47.77,5.8,11.31,28.7,6.52,46.5,6.42,14.8,6.02,15.8,3.42,13.6,1.64,12.3,1.08,14.9,4.41,12.2,,9.71,
1990,98.48,0.2,49.79,4.2,11.83,4.6,6.69,2.6,7.75,20.7,6.56,9.0,3.69,7.9,2.06,25.6,1.29,19.4,3.83,-13.2,,4.99,
1991,102.58,4.2,50.0,0.4,12.1,2.3,7.5,12.1,7.63,-1.5,6.73,2.6,3.82,3.5,1.62,-21.4,1.49,15.5,4.46,16.4,,7.23,
1992,111.29,8.5,50.95,1.9,13.21,9.2,9.14,21.9,8.52,11.7,7.15,6.2,4.16,8.9,2.12,30.9,1.59,6.7,5.01,12.3,,9.44,
1993,116.58,4.8,52.89,3.8,14.36,8.7,9.67,5.8,8.79,3.2,8.27,15.7,4.26,2.4,1.94,-8.5,1.79,12.6,6.26,25.0,,8.35,
1994,120.05,3.0,56.43,6.7,14.09,-1.9,9.67,0.0,8.98,2.2,8.11,-1.9,4.6,8.0,2.47,27.3,1.99,11.2,6.33,1.1,,7.38,
1995,123.1,2.5,58.07,2.9,16.47,16.9,10.67,10.3,17.92,99.6,8.76,8.0,5.29,15.0,2.63,6.5,2.23,12.1,8.46,33.6,,-7.4,
1996,138.89,12.8,61.9,6.6,17.94,8.9,11.97,12.2,18.35,2.4,9.4,7.3,5.98,13.0,2.99,13.7,2.6,16.6,12.63,49.3,,-4.87,
1997,162.46,17.0,64.69,4.5,22.0,22.6,14.35,19.9,13.62,-25.8,11.23,19.5,7.18,20.1,3.14,5.0,2.91,11.9,13.96,10.5,,9.38,
1998,176.56,8.7,68.25,5.5,23.98,9.0,16.32,13.7,12.77,-6.2,12.51,11.4,8.1,12.8,4.11,30.9,3.79,30.2,19.92,42.7,,6.81,
1999,203.19,15.1,71.25,4.4,26.63,11.1,17.56,7.6,13.58,6.3,13.58,8.6,8.8,8.6,5.36,30.4,4.52,19.3,28.76,44.4,,13.15,
2000,229.66,13.0,76.95,8.0,28.81,8.2,20.79,18.4,15.3,12.7,15.0,10.5,10.56,20.0,6.28,17.2,4.87,7.7,24.71,-14.1,,26.39,
2001,232.09,1.1,79.87,3.8,28.07,-2.6,24.28,16.8,16.41,7.3,16.56,10.4,9.73,-7.9,6.68,6.4,5.3,8.8,25.67,3.9,,19.52,
2002,232.72,0.3,82.98,3.9,27.25,-2.9,22.71,-6.5,15.7,-4.3,14.22,-14.1,9.93,2.1,7.97,19.3,4.66,-12.1,19.16,-25.4,,28.14,
2003,237.45,2.0,84.12,1.4,29.59,8.6,23.49,3.4,17.78,13.2,15.96,12.2,11.11,11.9,9.44,18.4,4.98,6.9,21.62,12.8,,19.36,
2004,260.26,9.6,87.51,4.0,31.66,7.0,26.1,11.1,19.06,7.2,17.66,10.7,11.23,1.1,11.52,22.0,5.78,16.1,20.32,-6.0,1.74,27.68,
2005,292.43,12.4,90.86,3.8,34.99,10.5,30.35,16.3,20.33,6.7,20.76,17.6,12.43,10.7,12.71,10.3,6.47,11.9,24.46,20.4,3.11,35.96,1.7873563218390804
2006,296.09,1.3,94.63,4.1,40.07,14.5,30.74,1.3,24.22,19.1,23.16,11.6,13.92,12.0,13.51,6.3,7.39,14.2,27.1,10.8,3.83,17.52,1.2315112540192927
2007,311.06,5.1,97.79,3.3,42.69,6.5,31.45,2.3,25.28,4.4,19.99,-13.7,14.92,7.2,15.78,16.8,8.05,8.9,37.67,39.0,3.37,14.08,0.8798955613577024
2008,299.61,-3.7,98.22,0.4,35.89,-15.9,35.44,12.7,24.14,-4.5,17.95,-10.2,12.29,-17.6,20.57,30.4,7.71,-4.2,30.14,-20.0,3.6,13.66,1.0682492581602374
2009,274.78,-8.3,99.56,1.4,34.96,-2.6,35.95,1.4,26.08,8.0,17.31,-3.6,12.59,2.4,16.39,-20.3,7.32,-5.1,32.39,7.5,4.2,-11.97,1.1666666666666667
2010,288.16,4.9,97.54,-2.0,42.22,20.8,36.78,2.3,27.68,6.1,19.21,11.0,13.38,6.3,13.89,-15.3,7.93,8.3,26.07,-19.5,4.88,-1.42,1.1619047619047618
2011,298.5,3.6,101.78,4.3,42.92,1.7,37.4,1.7,25.86,-6.6,21.35,11.1,12.82,-4.2,15.18,9.3,8.16,2.9,30.2,15.8,6.1,-3.27,1.25
2012,332.61,11.4,105.77,3.9,46.85,9.2,41.14,10.0,26.18,1.2,22.88,7.2,13.89,8.3,16.01,5.5,8.92,9.3,40.13,32.9,5.84,5.0,0.957377049180328
2013,332.53,0.0,110.42,4.4,44.48,-5.1,41.13,0.0,32.26,23.2,24.27,6.1,14.64,5.4,19.41,21.2,8.56,-4.0,40.83,1.7,7.22,-10.68,1.2363013698630136
2014,357.57,7.5,115.95,5.0,49.34,10.9,43.57,5.9,33.15,2.8,25.71,5.9,15.9,8.6,20.3,4.6,9.56,11.7,43.79,7.2,6.83,-6.54,0.9459833795013851
