Year,variable,value
1977,Total,35.21
1978,Total,38.57
1979,Total,43.11
1980,Total,48.63
1981,Total,55.28
1982,Total,59.11
1983,Total,63.21
1984,Total,68.58
1985,Total,71.69
1986,Total,83.25
1987,Total,82.2
1988,Total,88.04
1989,Total,98.3
1990,Total,98.48
1991,Total,102.58
1992,Total,111.29
1993,Total,116.58
1994,Total,120.05
1995,Total,123.1
1996,Total,138.89
1997,Total,162.46
1998,Total,176.56
1999,Total,203.19
2000,Total,229.66
2001,Total,232.09
2002,Total,232.72
2003,Total,237.45
2004,Total,260.26
2005,Total,292.43
2006,Total,296.09
2007,Total,311.06
2008,Total,299.61
2009,Total,274.78
2010,Total,288.16
2011,Total,298.5
2012,Total,332.61
2013,Total,332.53
2014,Total,357.57
2015,Total,376.05
2016,Total,389.64
2017,Total,410.02
1977,Total%Change,10.5
1978,Total%Change,9.5
1979,Total%Change,11.8
1980,Total%Change,12.8
1981,Total%Change,13.7
1982,Total%Change,6.9
1983,Total%Change,6.9
1984,Total%Change,8.5
1985,Total%Change,4.5
1986,Total%Change,16.1
1987,Total%Change,-1.3
1988,Total%Change,7.1
1989,Total%Change,11.7
1990,Total%Change,0.2
1991,Total%Change,4.2
1992,Total%Change,8.5
1993,Total%Change,4.8
1994,Total%Change,3.0
1995,Total%Change,2.5
1996,Total%Change,12.8
1997,Total%Change,17.0
1998,Total%Change,8.7
1999,Total%Change,15.1
2000,Total%Change,13.0
2001,Total%Change,1.1
2002,Total%Change,0.3
2003,Total%Change,2.0
2004,Total%Change,9.6
2005,Total%Change,12.4
2006,Total%Change,1.3
2007,Total%Change,5.1
2008,Total%Change,-3.7
2009,Total%Change,-8.3
2010,Total%Change,4.9
2011,Total%Change,3.6
2012,Total%Change,11.4
2013,Total%Change,0.0
2014,Total%Change,7.5
2015,Total%Change,5.2
2016,Total%Change,3.6
2017,Total%Change,5.2
1977,Religion,16.98
1978,Religion,18.35
1979,Religion,20.17
1980,Religion,22.23
1981,Religion,25.05
1982,Religion,28.06
1983,Religion,31.84
1984,Religion,35.55
1985,Religion,38.21
1986,Religion,41.68
1987,Religion,43.51
1988,Religion,45.15
1989,Religion,47.77
1990,Religion,49.79
1991,Religion,50.0
1992,Religion,50.95
1993,Religion,52.89
1994,Religion,56.43
1995,Religion,58.07
1996,Religion,61.9
1997,Religion,64.69
1998,Religion,68.25
1999,Religion,71.25
2000,Religion,76.95
2001,Religion,79.87
2002,Religion,82.98
2003,Religion,84.12
2004,Religion,87.51
2005,Religion,90.86
2006,Religion,94.63
2007,Religion,97.79
2008,Religion,98.22
2009,Religion,99.56
2010,Religion,97.54
2011,Religion,101.78
2012,Religion,105.77
2013,Religion,110.42
2014,Religion,115.95
2015,Religion,119.21
2016,Religion,123.81
2017,Religion,127.37
1977,Religion%Change,19.7
1978,Religion%Change,8.1
1979,Religion%Change,9.9
1980,Religion%Change,10.2
1981,Religion%Change,12.7
1982,Religion%Change,12.0
1983,Religion%Change,13.5
1984,Religion%Change,11.7
1985,Religion%Change,7.5
1986,Religion%Change,9.1
1987,Religion%Change,4.4
1988,Religion%Change,3.8
1989,Religion%Change,5.8
1990,Religion%Change,4.2
1991,Religion%Change,0.4
1992,Religion%Change,1.9
1993,Religion%Change,3.8
1994,Religion%Change,6.7
1995,Religion%Change,2.9
1996,Religion%Change,6.6
1997,Religion%Change,4.5
1998,Religion%Change,5.5
1999,Religion%Change,4.4
2000,Religion%Change,8.0
2001,Religion%Change,3.8
2002,Religion%Change,3.9
2003,Religion%Change,1.4
2004,Religion%Change,4.0
2005,Religion%Change,3.8
2006,Religion%Change,4.1
2007,Religion%Change,3.3
2008,Religion%Change,0.4
2009,Religion%Change,1.4
2010,Religion%Change,-2.0
2011,Religion%Change,4.3
2012,Religion%Change,3.9
2013,Religion%Change,4.4
2014,Religion%Change,5.0
2015,Religion%Change,2.8
2016,Religion%Change,3.9
2017,Religion%Change,2.9
1977,Education,3.89
1978,Education,4.32
1979,Education,4.7
1980,Education,5.07
1981,Education,5.93
1982,Education,4.94
1983,Education,5.33
1984,Education,6.37
1985,Education,6.75
1986,Education,8.46
1987,Education,8.08
1988,Education,8.79
1989,Education,11.31
1990,Education,11.83
1991,Education,12.1
1992,Education,13.21
1993,Education,14.36
1994,Education,14.09
1995,Education,16.47
1996,Education,17.94
1997,Education,22.0
1998,Education,23.98
1999,Education,26.63
2000,Education,28.81
2001,Education,28.07
2002,Education,27.25
2003,Education,29.59
2004,Education,31.66
2005,Education,34.99
2006,Education,40.07
2007,Education,42.69
2008,Education,35.89
2009,Education,34.96
2010,Education,42.22
2011,Education,42.92
2012,Education,46.85
2013,Education,44.48
2014,Education,49.34
2015,Education,53.08
2016,Education,55.48
2017,Education,58.9
1977,Education%Change,8.4
1978,Education%Change,11.1
1979,Education%Change,8.8
1980,Education%Change,7.9
1981,Education%Change,17.0
1982,Education%Change,-16.7
1983,Education%Change,7.9
1984,Education%Change,19.5
1985,Education%Change,6.0
1986,Education%Change,25.3
1987,Education%Change,-4.5
1988,Education%Change,8.8
1989,Education%Change,28.7
1990,Education%Change,4.6
1991,Education%Change,2.3
1992,Education%Change,9.2
1993,Education%Change,8.7
1994,Education%Change,-1.9
1995,Education%Change,16.9
1996,Education%Change,8.9
1997,Education%Change,22.6
1998,Education%Change,9.0
1999,Education%Change,11.1
2000,Education%Change,8.2
2001,Education%Change,-2.6
2002,Education%Change,-2.9
2003,Education%Change,8.6
2004,Education%Change,7.0
2005,Education%Change,10.5
2006,Education%Change,14.5
2007,Education%Change,6.5
2008,Education%Change,-15.9
2009,Education%Change,-2.6
2010,Education%Change,20.8
2011,Education%Change,1.7
2012,Education%Change,9.2
2013,Education%Change,-5.1
2014,Education%Change,10.9
2015,Education%Change,7.6
2016,Education%Change,4.5
2017,Education%Change,6.2
1977,HumanServices,4.1
1978,HumanServices,4.22
1979,HumanServices,4.31
1980,HumanServices,4.45
1981,HumanServices,4.59
1982,HumanServices,2.88
1983,HumanServices,3.04
1984,HumanServices,3.34
1985,HumanServices,3.68
1986,HumanServices,3.77
1987,HumanServices,3.99
1988,HumanServices,4.45
1989,HumanServices,6.52
1990,HumanServices,6.69
1991,HumanServices,7.5
1992,HumanServices,9.14
1993,HumanServices,9.67
1994,HumanServices,9.67
1995,HumanServices,10.67
1996,HumanServices,11.97
1997,HumanServices,14.35
1998,HumanServices,16.32
1999,HumanServices,17.56
2000,HumanServices,20.79
2001,HumanServices,24.28
2002,HumanServices,22.71
2003,HumanServices,23.49
2004,HumanServices,26.1
2005,HumanServices,30.35
2006,HumanServices,30.74
2007,HumanServices,31.45
2008,HumanServices,35.44
2009,HumanServices,35.95
2010,HumanServices,36.78
2011,HumanServices,37.4
2012,HumanServices,41.14
2013,HumanServices,41.13
2014,HumanServices,43.57
2015,HumanServices,46.7
2016,HumanServices,47.64
2017,HumanServices,50.06
1977,HumanServices%Change,1.7
1978,HumanServices%Change,2.9
1979,HumanServices%Change,2.1
1980,HumanServices%Change,3.2
1981,HumanServices%Change,3.1
1982,HumanServices%Change,-37.3
1983,HumanServices%Change,5.6
1984,HumanServices%Change,9.9
1985,HumanServices%Change,10.2
1986,HumanServices%Change,2.4
1987,HumanServices%Change,5.8
1988,HumanServices%Change,11.5
1989,HumanServices%Change,46.5
1990,HumanServices%Change,2.6
1991,HumanServices%Change,12.1
1992,HumanServices%Change,21.9
1993,HumanServices%Change,5.8
1994,HumanServices%Change,0.0
1995,HumanServices%Change,10.3
1996,HumanServices%Change,12.2
1997,HumanServices%Change,19.9
1998,HumanServices%Change,13.7
1999,HumanServices%Change,7.6
2000,HumanServices%Change,18.4
2001,HumanServices%Change,16.8
2002,HumanServices%Change,-6.5
2003,HumanServices%Change,3.4
2004,HumanServices%Change,11.1
2005,HumanServices%Change,16.3
2006,HumanServices%Change,1.3
2007,HumanServices%Change,2.3
2008,HumanServices%Change,12.7
2009,HumanServices%Change,1.4
2010,HumanServices%Change,2.3
2011,HumanServices%Change,1.7
2012,HumanServices%Change,10.0
2013,HumanServices%Change,0.0
2014,HumanServices%Change,5.9
2015,HumanServices%Change,7.2
2016,HumanServices%Change,2.0
2017,HumanServices%Change,5.1
1977,Health,3.93
1978,Health,4.1
1979,Health,4.28
1980,Health,4.48
1981,Health,4.63
1982,Health,3.06
1983,Health,3.46
1984,Health,3.87
1985,Health,4.59
1986,Health,4.37
1987,Health,4.71
1988,Health,5.59
1989,Health,6.42
1990,Health,7.75
1991,Health,7.63
1992,Health,8.52
1993,Health,8.79
1994,Health,8.98
1995,Health,17.92
1996,Health,18.35
1997,Health,13.62
1998,Health,12.77
1999,Health,13.58
2000,Health,15.3
2001,Health,16.41
2002,Health,15.7
2003,Health,17.78
2004,Health,19.06
2005,Health,20.33
2006,Health,24.22
2007,Health,25.28
2008,Health,24.14
2009,Health,26.08
2010,Health,27.68
2011,Health,25.86
2012,Health,26.18
2013,Health,32.26
2014,Health,33.15
2015,Health,34.21
2016,Health,35.65
2017,Health,38.27
1977,Health%Change,5.1
1978,Health%Change,4.3
1979,Health%Change,4.4
1980,Health%Change,4.7
1981,Health%Change,3.3
1982,Health%Change,-33.9
1983,Health%Change,13.1
1984,Health%Change,11.8
1985,Health%Change,18.6
1986,Health%Change,-4.8
1987,Health%Change,7.8
1988,Health%Change,18.7
1989,Health%Change,14.8
1990,Health%Change,20.7
1991,Health%Change,-1.5
1992,Health%Change,11.7
1993,Health%Change,3.2
1994,Health%Change,2.2
1995,Health%Change,99.6
1996,Health%Change,2.4
1997,Health%Change,-25.8
1998,Health%Change,-6.2
1999,Health%Change,6.3
2000,Health%Change,12.7
2001,Health%Change,7.3
2002,Health%Change,-4.3
2003,Health%Change,13.2
2004,Health%Change,7.2
2005,Health%Change,6.7
2006,Health%Change,19.1
2007,Health%Change,4.4
2008,Health%Change,-4.5
2009,Health%Change,8.0
2010,Health%Change,6.1
2011,Health%Change,-6.6
2012,Health%Change,1.2
2013,Health%Change,23.2
2014,Health%Change,2.8
2015,Health%Change,3.2
2016,Health%Change,4.2
2017,Health%Change,7.3
1977,PublicSocietyBenefit,1.29
1978,PublicSocietyBenefit,1.5
1979,PublicSocietyBenefit,1.82
1980,PublicSocietyBenefit,2.28
1981,PublicSocietyBenefit,2.13
1982,PublicSocietyBenefit,3.21
1983,PublicSocietyBenefit,3.77
1984,PublicSocietyBenefit,4.68
1985,PublicSocietyBenefit,4.09
1986,PublicSocietyBenefit,7.66
1987,PublicSocietyBenefit,4.86
1988,PublicSocietyBenefit,5.2
1989,PublicSocietyBenefit,6.02
1990,PublicSocietyBenefit,6.56
1991,PublicSocietyBenefit,6.73
1992,PublicSocietyBenefit,7.15
1993,PublicSocietyBenefit,8.27
1994,PublicSocietyBenefit,8.11
1995,PublicSocietyBenefit,8.76
1996,PublicSocietyBenefit,9.4
1997,PublicSocietyBenefit,11.23
1998,PublicSocietyBenefit,12.51
1999,PublicSocietyBenefit,13.58
2000,PublicSocietyBenefit,15.0
2001,PublicSocietyBenefit,16.56
2002,PublicSocietyBenefit,14.22
2003,PublicSocietyBenefit,15.96
2004,PublicSocietyBenefit,17.66
2005,PublicSocietyBenefit,20.76
2006,PublicSocietyBenefit,23.16
2007,PublicSocietyBenefit,19.99
2008,PublicSocietyBenefit,17.95
2009,PublicSocietyBenefit,17.31
2010,PublicSocietyBenefit,19.21
2011,PublicSocietyBenefit,21.35
2012,PublicSocietyBenefit,22.88
2013,PublicSocietyBenefit,24.27
2014,PublicSocietyBenefit,25.71
2015,PublicSocietyBenefit,26.85
