STATE,Full Name,Capital,REGION,Count,ASSET_AMT,INCOME_AMT,REVENUE_AMT,ASSET_AVG,INCOME_AVG,REVENUE_AVG
AL,Alabama,Montgomery,Gulf Coast and Pacific Coast Areas,21834,44397313574.0,18474053125.0,14246811896.0,2570032.623675832,1069409.7322720694,889591.7512332188
AK,Alaska,Juneau,Gulf Coast and Pacific Coast Areas,5431,14793816195.0,7611552691.0,5939897286.0,3396192.882231405,1747372.0594582185,1402242.0410764872
AZ,Arizona,Phoenix,Gulf Coast and Pacific Coast Areas,24885,55645165777.0,62399055974.0,33637576074.0,2884215.29969419,3234284.7651479812,1857198.3256404593
AR,Arkansas,Little Rock,Gulf Coast and Pacific Coast Areas,14496,30038008932.0,23820932286.0,17323462359.0,2694716.868395084,2136981.4556382885,1626310.773469771
CA,California,Sacramento,Gulf Coast and Pacific Coast Areas,173718,751053162553.0,398980116970.0,260983867058.0,5565582.992848991,2956590.910215938,2100051.23361899
CO,Colorado,Denver,Gulf Coast and Pacific Coast Areas,32486,99169888782.0,44926188353.0,34958211802.0,4016113.4241282954,1819389.638885514,1529565.1630715379
DC,District of Columnbia,Washington,Mid-Atlantic and Great Lakes Areas,13506,111353022660.0,83311993875.0,57926423240.0,10181313.217518516,7617444.80890555,5559157.7005758155
CT,Connecticut,Hartford,Northeast Area,21327,137125180936.0,63456264143.0,39680008432.0,7636307.898646767,3533789.839227042,2458793.433634899
DE,Delaware,Dover,Mid-Atlantic and Great Lakes Areas,7037,32194647079.0,43276183124.0,8426911092.0,5514670.619904077,7412843.974648852,2037454.325918762
FL,Florida,Tallahassee,Gulf Coast and Pacific Coast Areas,90426,231645460819.0,128226535778.0,96174228031.0,3500180.728895,1937512.8175458214,1626762.9910520974
GA,Georgia,Atlanta,Gulf Coast and Pacific Coast Areas,48696,146388049291.0,80773241913.0,65915333151.0,4156153.8041848843,2293261.08435069,1988276.217151303
HI,Hawaii,Honolulu,Gulf Coast and Pacific Coast Areas,8020,26967845329.0,16497653039.0,8824783723.0,4301091.759011164,2631204.631419458,1530486.2509538676
ID,Idaho,Boise,Gulf Coast and Pacific Coast Areas,8358,10802219023.0,9146395737.0,6514055579.0,1586461.8920546335,1343280.3255984725,1009305.1718314224
IL,Illinois,Springfield,Mid-Atlantic and Great Lakes Areas,69445,319902687797.0,225473260244.0,113993674202.0,5810496.363647922,4095344.0178000582,2330634.7079798
IN,Indiana,Indianapolis,Mid-Atlantic and Great Lakes Areas,38267,132689245950.0,70889635119.0,49814018877.0,4538246.321567822,2424571.9652164993,1795811.6326111252
IA,Iowa,Des Moines,Mid-Atlantic and Great Lakes Areas,28504,50237642311.0,26844212959.0,21193492142.0,2050013.9684567044,1095413.896964009,905201.9024473584
KS,Kansas,Topeka,Gulf Coast and Pacific Coast Areas,16998,35976027227.0,17369309771.0,13822976771.0,2710262.7110893475,1308521.1519511829,1118816.4120598948
