EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,REGION,addr,Lat,Lng,STREET_new,ZIP_5,Coord
10211478,UNITED WAY OF EASTERN MAINE,,700 MAIN ST STE 1,BANGOR,ME,04401-6800,0,3,1,1000,195909,1,15,600902927,1,1,201706.0,7,6,1,0,6,5491898.0,2438155.0,2426029.0,T700,,Northeast Area,"700 MAIN ST, BANGOR, ME, 04401",44.7886433,-68.7779085,700 MAIN ST,04401,"(44.7815871, -68.7817343)"
10233280,UNITED WAY OF MID-MAINE INC,,105 KENNEDY MEMORIAL DR,WATERVILLE,ME,04901-5131,0,3,3,1000,196701,1,15,600000000,1,1,201806.0,5,5,1,0,6,973882.0,690708.0,688129.0,T70Z,,Northeast Area,"105 KENNEDY MEMORIAL DR, WATERVILLE, ME, 04901",44.5436705,-69.6675845,105 KENNEDY MEMORIAL DR,04901,"(44.5436705, -69.6675845)"
10241767,UNITED WAY INC,,1 CANAL PLZ STE 300,PORTLAND,ME,04101-4083,0,3,3,1000,195608,1,15,600000000,1,1,201706.0,8,8,1,0,6,19273896.0,10817811.0,9652964.0,T70Z,,Northeast Area,"1 CANAL PLZ, PORTLAND, ME, 04101",43.6566959,-70.25513291683,1 CANAL PLZ,04101,"(43.6566959, -70.25513291683)"
16004404,UNITED WAY OF KENNEBEC VALLEY,,121 COMMERCIAL ST,AUGUSTA,ME,04330-4731,0,3,3,1000,196502,1,15,600000000,1,1,201612.0,6,6,1,0,12,1544641.0,1449442.0,1431036.0,T700,,Northeast Area,"121 COMMERCIAL ST, AUGUSTA, ME, 04330",44.317585,-69.7736575,121 COMMERCIAL ST,04330,"(44.317585, -69.7736575)"
16004866,UNITED WAY OF MID COAST MAINE INC,,34 WING FARM PKWY STE 201,BATH,ME,04530-1551,0,3,3,1000,195805,1,15,927602000,1,1,201806.0,6,6,1,0,6,2576896.0,1933267.0,1933267.0,,,Northeast Area,"34 WING FARM PKWY, BATH, ME, 04530",43.91461,-69.835911,34 WING FARM PKWY,04530,"(43.91461, -69.835911)"
20236885,MONADNOCK UNITED WAY INC,% PAUL HEBERT,23 CENTER ST,KEENE,NH,03431-3351,0,3,3,1000,195209,1,16,600000000,1,1,201612.0,6,6,1,0,12,3106695.0,2190289.0,2190289.0,,,Northeast Area,"23 CENTER ST, KEENE, NH, 03431",42.9347141,-72.2802745,23 CENTER ST,03431,"(42.9347141, -72.2802745)"
20452122,UNITED WAYS OF NEW HAMPSHIRE,% UNITED WAY OF MERRIMACK COUNTY,22 CONCORD ST STE 2,MANCHESTER,NH,03101-1817,0,3,3,1000,199908,1,17,0,1,1,201707.0,1,0,2,0,7,791.0,0.0,0.0,P12,,Northeast Area,"22 CONCORD ST, MANCHESTER, NH, 03101",42.992738,-71.446337,22 CONCORD ST,03101,"(42.992738, -71.446337)"
26006033,GRANITE UNITED WAY,,22 CONCORD STREET,MANCHESTER,NH,03101-1841,0,3,3,1000,195508,1,15,927602000,1,1,201803.0,7,7,1,0,3,8095754.0,9357319.0,9357319.0,,,Northeast Area,"22 CONCORD STREET, MANCHESTER, NH, 03101",42.992738,-71.446337,22 CONCORD STREET,03101,"(42.992738, -71.446337)"
26015642,UNITED WAY OF GREATER NASHUA INC,,20 BROAD STREET,NASHUA,NH,03064-2039,0,3,3,1000,195411,1,15,927602000,1,1,201709.0,6,6,1,0,9,1047687.0,1250013.0,1168505.0,T70Z,,Northeast Area,"20 BROAD STREET, NASHUA, NH, 03064",42.7696644,-71.4832055927151,20 BROAD STREET,03064,"(42.7696644, -71.4832055927151)"
30217229,UNITED WAY OF NORTHWEST VERMONT INC,% ROGER MONETTE,412 FARRELL ST STE 200,S BURLINGTON,VT,05403-4466,0,3,3,1000,196603,1,15,600602000,1,1,201703.0,7,7,1,0,3,6288490.0,5801675.0,5584486.0,T70Z,COHEN JAMES,Northeast Area,"412 FARRELL ST, S BURLINGTON, VT, 05403",44.446262,-73.204443,412 FARRELL ST,05403,"(44.446262, -73.204443)"
