EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,REGION,addr,Lat,Lng
990286056,UNITED WAY STATEWIDE ASSOCIATION OF HAWAII,% LINDA NELSON,200 N VINEYARD BLVD STE 700,HONOLULU,HI,96817-3952,0,3,3,1000,199505,1,15,320000000,1,1,201612.0,0,0,2,0,12,0.0,0.0,0.0,Z99Z,,Gulf Coast and Pacific Coast Areas,"200 N VINEYARD BLVD, HONOLULU, HI, 96817",21.317381,-157.859344
592116280,UNITED WAY OF CENTRAL FLORIDA INC,% ROBI CASHBAUGH,5605 US HIGHWAY 98 S,LAKELAND,FL,33812-0000,0,3,3,1000,198110,1,15,600000000,1,1,201706.0,8,8,1,0,6,30062641.0,12470867.0,11677226.0,T700,,Gulf Coast and Pacific Coast Areas,"5605 US HIGHWAY 98 S, LAKELAND, FL, 33812",28.0321216,-81.9339459
590808854,HEART OF FLORIDA UNITED WAY,% DR NELSON YING CENTER,1940 TRAYLOR BLVD,ORLANDO,FL,32804-4714,0,3,3,1000,194207,1,15,927000000,1,1,201706.0,8,8,1,0,6,30569493.0,39504270.0,30933845.0,T70,,Gulf Coast and Pacific Coast Areas,"1940 TRAYLOR BLVD, ORLANDO, FL, 32804",28.5735549,-81.4097452
720867661,UNITED WAY FOR SOUTH LOUISIANA,,600 ACADEMY ST,HOUMA,LA,70360-5602,0,3,3,1000,197912,1,15,602600994,1,1,201712.0,6,5,1,0,12,1262849.0,847766.0,847766.0,,,Gulf Coast and Pacific Coast Areas,"600 ACADEMY ST, HOUMA, LA, 70360",29.5920075,-90.7216828
590808855,UNITED WAY OF NORTH CENTRAL FLORIDA INC,,6031 NW 1ST PL,GAINESVILLE,FL,32607-2025,0,3,3,1000,196404,1,15,602000000,1,1,201706.0,6,6,1,0,6,3089923.0,3527924.0,3514649.0,T70Z,,Gulf Coast and Pacific Coast Areas,"6031 NW 1ST PL, GAINESVILLE, FL, 32607",29.6534773,-82.3958285
720471369,UNITED WAY OF SOUTHEAST LOUISIANA,% LAURA PAUL,2515 CANAL ST,NEW ORLEANS,LA,70119-6435,0,3,3,1000,195211,1,15,600000000,1,1,201706.0,8,8,1,0,6,22379796.0,19576488.0,19154240.0,T70Z,,Gulf Coast and Pacific Coast Areas,"2515 CANAL ST, NEW ORLEANS, LA, 70119",29.9644797,-90.0850142
720456901,UNITED WAY OF SOUTHWEST LOUISIANA INC,,715 RYAN ST STE 102,LAKE CHARLES,LA,70601-4200,0,3,3,7000,195403,1,15,600927000,5,1,201706.0,7,6,1,0,6,7135157.0,4307206.0,4307206.0,,,Gulf Coast and Pacific Coast Areas,"715 RYAN ST, LAKE CHARLES, LA, 70601",30.226641,-93.21764
741618608,UNITED WAYS OF TEXAS INC,,1910 E MARTIN LUTHER KING JR BLVD,AUSTIN,TX,78702-1243,0,3,3,1000,196904,1,16,602000000,1,1,201712.0,6,5,1,0,12,1038666.0,811249.0,811249.0,T70Z,,Gulf Coast and Pacific Coast Areas,"1910 E MARTIN LUTHER KING JR BLVD, AUSTIN, TX, 78702",30.2801795,-97.7206905299453
590637825,UNITED WAY OF NORTHEAST FLORIDA INC,,40 EAST ADAMS STREET 200,JACKSONVILLE,FL,32202-3353,0,3,3,1000,194106,1,15,927600000,1,1,201706.0,8,8,1,0,6,20303697.0,23346485.0,23069612.0,T70,,Gulf Coast and Pacific Coast Areas,"40 EAST ADAMS STREET 200, JACKSONVILLE, FL, 32202",30.3272078,-81.65676309999998
640826356,UNITED WAY OF SOUTH MISSISSIPPI INC,,11975 SEAWAY ROAD NO B-170,GULFPORT,MS,39503-6079,0,3,3,1000,199308,1,15,600000000,1,1,201803.0,6,6,1,0,3,2532748.0,1468336.0,1468336.0,T70Z,,Gulf Coast and Pacific Coast Areas,"11975 SEAWAY ROAD, GULFPORT, MS, 39503",30.4337018,-89.0343967623564
