created_at,text
2018-11-28 18:24:38,"It's not too late to give!

There's still time for you to give a ride to someone in need. We're partnering with @lyft to help individuals get the services they need to stay healthy and financially secure. 

? Give a ride today: https://t.co/dsBrCRlyVV

#GiveUnited #GivingTuesday https://t.co/Nrtf5Sh0pS"
2018-11-28 17:56:27,Huge shoutout to @demario__davis for supporting @UnitedWay during #MyCauseMyCleats. ? Check out his custom-made cleats below! https://t.co/F1htjloBO0
2018-11-28 13:33:49,We are so happy to be partnering with @nest to keep our neighbors warm this holiday season ?? https://t.co/SDIehUwblf
2018-11-27 20:34:04,"1?? out of every 4?? transportation help requests received through @UnitedWay’s 2-1-1 call centers go unmet because of lack of resources. 

You can make an impact by giving a free ride to someone in need through our partnership with @lyft: https://t.co/dsBrCRlyVV 

#GivingTuesday https://t.co/HX1YOHB5YE"
2018-11-27 14:51:28,"You could change a life by giving a free ride to someone in need. 

Your #GivingTuesday donation will provide rides to job interviews ?, medical appointments ? and other important obligations through our partnership with @lyft 

Give a free ride today: https://t.co/dsBrCR3Xxl https://t.co/Hst856bM6f"
2018-11-27 00:17:01,"Help people like Amy achieve financial stability. 

You can #GiveUnited on #GivingTuesday by supporting United Way’s partnership with 2-1-1 + @lyft: https://t.co/dsBrCRlyVV https://t.co/0PNYqPjVkP"
2018-11-26 18:33:00,"DYK: Young people are far more likely than senior citizens to report being lonely and in poor health? Read @UnitedWay's blog about how feeling lonely is not uncommon. 

https://t.co/cRVXgmdji5"
2018-11-25 20:51:06,"We are challenging the status quo, dreaming of a better world and fighting to enable every person to lead their greatest lives. Learn more about @SalesforceOrg #PhilanthropyCloud below. ?? 

https://t.co/SX8cWfiPaQ"
2018-11-23 15:45:07,"ICYMI: All signs are pointing upward for large nonprofits. ?

Read the full study by @mhrywna via the @NonProfitTimes: https://t.co/bbGmpFMP9b https://t.co/YJsbXxaj90"
2018-11-22 16:26:52,"We're #thankful for our donors, volunteers, advocates and partners. Because of YOU we are able to continue what we do. #HappyThanksgiving

?: @myvsuw https://t.co/ch1zK08N7K"
2018-11-21 13:35:01,"¿Buscas opciones de seguros de salud que puedas pagar? Envía COBERTURA al 898-211 para tener información sin importar en qué Estado vives, tu nivel de ingreso o estado de salud. #YoMeApunto https://t.co/Pi1BpYgD6M"
2018-11-20 20:25:15,"United Way's very own Chief Diversity Officer, @SlaughterDR, is featured in a new book about women's leadership advancement called Mastering Your Inner Critic and 7 Other High Hurdles to Advancement. 

Learn more: https://t.co/aorGuOzj0a https://t.co/WzbvWr1y4j"
