created_at,text,year
2018-11-26 19:45:00,.@NatlCouncilNPs sends letter to @ChuckGrassley and @RepRichardNeal identifying a slate of policy recommendations designed to promote stronger #nonprofits and stronger communities. https://t.co/LrppmQr6UK https://t.co/qL4m3ehmxz,2018
2018-11-26 18:33:47,"Today's #Nonprofit Advocacy Matters looks ahead to the lame duck session in Congress, state spending trends, and a few looming public comment deadlines on issues relevant to nonprofits
https://t.co/3VAUenWxXG",2018
2018-11-22 19:23:00,"We are giving thanks to the many donors who give local, helping #nonprofits that help our local communities https://t.co/YDd1Mdp24h #Thanksgiving https://t.co/M0ruwwLEMh",2018
2018-11-22 16:22:00,"This #Thanksgiving, we are grateful for the many #nonprofits healing their communities in the wake of disaster https://t.co/dj68zixQWX https://t.co/MBMWtaQehI",2018
2018-11-19 16:47:00,"Something to remember on #GivingTuesday: “If you care enough to invest your money in an organization, then investing your voice can magnify that impact with policymakers” - David Heinen of @ncnonprofits via @newsobserver https://t.co/Q15U8nG4ly https://t.co/LMAQ9Ymb5v",2018
2018-11-14 18:04:40,"In this month's edition of #Nonprofit Knowledge Matters, we're giving thanks - thanks for people who support nonprofits in their local community and thanks for the nonprofits stepping up to help heal communities after tragedies. Join us in saying #ThankYou https://t.co/HQ2TakgzG4 https://t.co/aSDmLtU06L",2018
2018-11-13 15:49:43,Interesting insights on #GivingCircles from @WPIinsights. Check out these two new reports. https://t.co/fySOCGua3b,2018
2018-11-13 13:59:48,Such a great story. Learn from @JimmyWayne how you can make holiday dreams come true through the @salvationarmy https://t.co/s26fWok9eM,2018
2018-11-11 22:35:06,"As the world pauses to commemorate the 100th anniversary of the armistice ending World War I, we look back at some #nonprofits that provided assistance to our troops at home and abroad, including @RedCross @ymca @salvationarmy. https://t.co/zyBeXmLr4M #ArmisticeDay100",2018
2018-11-11 18:08:24,"Today, we pause to honor and thank those who serve our country - and their families. Happy #VeteransDay. We #ThankYouForYourService, https://t.co/6RatrXU4Vd",2018
2018-11-09 21:24:57,7 Ways to Ensure Safety and Privacy for #Nonprofit Donors  #cybersecurity #nptech #techforgood https://t.co/gNklopTWZw via @BizTechMagazine,2018
2018-11-09 18:45:56,Congratulations! We look forward to your leadership and what's next for @siliconvalleycf https://t.co/KZ9FVc5p1g,2018
2018-11-09 18:10:07,"It's time to wrap up #Election2018 and look ahead to the lame-duck session of Congress and what the elections mean for #nonprofits in 2019 at the local, state, and federal levels. Our rundown: https://t.co/u1GiJruvh0 https://t.co/uKTyzT4CFD",2018
2018-11-07 19:30:13,What do the results of yesterday's #MidtermElections mean for the #JohnsonAmendment and #nonprofit nonpartisanship? @DavidLThompson6 takes a look ahead: https://t.co/8gyBtO5Rfs https://t.co/behcWI5sEr,2018
2018-11-06 17:12:00,"Every Vote Matters

Your #Nonprofit's Mission Matters
 
You Matter

Be Heard

#Vote!
 
#ElectionDay https://t.co/PJkzlRRbWv",2018
2018-11-06 15:50:00,"Have you voted yet? Not sure what's on your ballot? Ballot Ready provides a tool to create a personalized, interactive ballot based on your voting location that will inform you of the issues and candidates you will be voting on. https://t.co/Dt2a8RM1GR #ElectionDay https://t.co/m9Idvi8hD6",2018
2018-11-06 14:40:00,"Today is #ElectionDay. If you didn't vote early, today is the day. Get out there and #vote! Resources for #nonprofits on what you can do today (remember to remain nonpartisan!): https://t.co/RSa8OrGy87 https://t.co/4UQn53dm4l",2018
2018-11-01 18:16:00,“Trick or Treat?” Who’s knocking on your #nonprofit’s door looking for data? Nice #cybersecurity tips from @NpoQuestions https://t.co/8KgSbxQx4U #nptech https://t.co/UQsfkIPdrA,2018
2018-11-01 15:17:00,"Only a couple of days left to complete the survey and find out if your #nonprofit is one of the @NonProfitTimes 
#BestNonprofitsToWorkFor https://t.co/VNnMTFKzWV https://t.co/NzvybsjDJB",2018
2018-11-01 14:41:00,Real work begins soon for #nonprofits. Marnie Taylor of @OKCNP discusses the importance of ensuring lawmakers - especially newly-elected ones - are aware of the impact of the nonprofits they represent https://t.co/otBxcfGkbr https://t.co/GGzI09IqXR,2018
2018-10-31 20:20:41,Congratulations @Philanthropy on 30 years informing the #nonprofit sector! https://t.co/Xi6xayvqBy,2018
2018-10-31 15:52:00,Is your #nonprofit one of the #BestNonprofitstoWorkFor? Share your nonprofit's info with @NonProfitTimes to find out. https://t.co/VNnMTFKzWV https://t.co/PqxeXPgvLJ,2018
2018-10-29 18:05:03,The Nonprofit Nonpartisan Pre-Election issue takes a look at issues on ballots across the country that could affect #nonprofits - and highlights several states where candidates were invited to complete nonprofit-specific questionnaires https://t.co/7vmfZ3HODb #Election2018 https://t.co/l7lmYlo4yJ,2018
2018-10-22 16:06:35,#Nonprofits are at the forefront of #HurricaneMichael recovery. Here are some resources from @FLNonprofits on how you can help people affected by the hurricane. https://t.co/vAlsMCLCAe,2018
2018-10-22 15:39:37,#Probono assistance is so important to the work of #nonprofits. Thank you to all of the professionals out there who are helping to make a difference #PBW18 https://t.co/dAzTQjz2po,2018
2018-10-19 17:58:00,"#Nonprofits making a difference

Amazing to see how many nonprofits were mentioned in this story from @washingtonpost ""Houses intact after #HurricaneMichael were often saved by low-cost reinforcements"" https://t.co/hr1ptIGquM https://t.co/IxkIfEzA5r",2018
2018-10-19 14:47:37,"""Advocacy With a Small 'a'—Big Ideas for Small Foundations"" includes some great tips from @NpoQuestions. Special thanks to @exponentphil for sharing this post. https://t.co/JlXaqU0Ccu https://t.co/wdBcl99POY",2018
2018-10-15 17:00:02,A reminder from @NonprofitOregon to be generous to #nonprofits in your local community https://t.co/RnSwmOCTym https://t.co/44vGfKMlC5,2018
2018-10-12 17:53:59,Nice primer on do's and don'ts for #nonprofits this election season https://t.co/ey9XW5Gbcc,2018
2018-10-12 17:10:00,"#Nonprofit leaders, funders, and consultants can all use the #PerformancePractice from @LeapAmbassadors to improve their organizations and our communities. See how: https://t.co/JnylNkiVZ5",2018
2018-10-11 18:13:36,Congratulations @EnrightGEO! A terrific new leader for @COF_ https://t.co/Cey0kqCc6M,2018
2018-10-10 19:23:00,And the final piece of the 2019 planning puzzle: Individual Giving Trends and Your #Nonprofit's Development Plan https://t.co/hQGn0G3CIS #fundraising https://t.co/QviEsanrGC,2018
2018-10-10 17:21:00,Continuing our theme on #nonprofit planning for 2019: Planning for board transitions https://t.co/mWeLOludW6 - including a special Mission Minute from @DE_Nonprofit on the importance of board chairs https://t.co/Mk7blqt2ZF,2018
2018-10-10 15:19:00,"In today's #Nonprofit Knowledge Matters, we're looking at planning ahead for 2019. First up: Planning Your Nonprofit’s Communications in an Ever-Changing World https://t.co/4tEVFz3DIj https://t.co/E5KOMbV5mQ",2018
2018-10-10 14:39:51,Proud to be a partner of @BJContheHill! https://t.co/R98sgL7cxt,2018
2018-10-10 14:16:32,Thinking of everyone in the path of #HurricaneMichael. Please be safe. Good tips here from @VolunteerFla https://t.co/ujKKCCjluA,2018
2018-10-09 18:09:56,"New report from @WPIinsights ""Charitable Giving Around the 2016 Election: Does Gender Matter?""
examines how the 2016 election influenced women and men giving to #nonprofits  https://t.co/Qxrr4zZuzk #womensphilanthropy #philanthropy https://t.co/z6FR8Fg5zP",2018
