created_at,text
2018-11-28 19:05:06,"We’re spotlighting @m_dilworth, Director of @FCSanFrancisco, as this week’s #wcw! Michele leads FC West's overall programming and operations and works to expand our diverse #partnership base. We're thrilled to have her on our team! https://t.co/ii7rMC0ybJ"
2018-11-28 18:10:13,"Worldwide, an estimated one in five youth are affected by a mental health condition. How are youth standing up to support causes related to #mentalhealth? Find out: https://t.co/4TnL9xUBsu  #howyouthgive #youthphil https://t.co/z2U0vISS2T"
2018-11-28 16:15:08,RT @NTENorg: Events can go a long way towards finding new #donors. Learn how to make the most of your next event: https://t.co/3zvEyqF4l3 #fundraising https://t.co/AZsfiBzaUY
2018-11-28 13:10:07,"Join our 11/29 webinar w/ @mstein63 @EveryActionHQ on expanding your digital fundraising capacity! Watch parties at Humboldt Area Fdn, San Mateo City Library, Sanford Institute @JFKUniv, @SBPLSystem &amp; @SantaMonicaLibr. Check out the preview &amp; register!! https://t.co/Mw22z5cYTK https://t.co/HW6wqHY2P3"
2018-11-28 08:05:06,[NEW] Measuring the State of Disaster Philanthropy report contains updated data &amp; interactive tools to improve #disasterphilanthropy:  https://t.co/ixP1DfDCPE @funds4disaster #SODP2018 https://t.co/dq5tm5NyQh
2018-11-27 21:10:04,Gift of Voice supports mental health recovery. People do recover from even the most debilitating life challenges. Learn more at https://t.co/shtyDGmKoN #GivingTuesday
2018-11-27 20:05:10,PAACS is a strategic response to the desperate need for safe surgical care by training surgeons to serve in #Africa. Learn more here this #GivingTuesday: https://t.co/XWT6vZPdZ6 https://t.co/JPG2qCunX0
2018-11-27 18:05:10,"Union City Music Project's After School Orchestral Music Program helps Hudson County, NJ's at-risk kids and youth break the poverty cycle. Learn more about this program here:  https://t.co/XOApTTE1s5 #GivingTuesday https://t.co/cMtM5NT9qi"
2018-11-27 16:15:10,American College Health Foundation helps college students by supporting campus health centers. Learn more here: https://t.co/wu75u1WPdk #GivingTuesday https://t.co/o8Q8p6iFtr
2018-11-27 14:15:11,.@ImageImpactInt works to empower first-gen college students for workplace success. Learn more here: https://t.co/2DKQdcjqPu #GivingTuesday https://t.co/MYf0yW9jHb
2018-11-27 13:05:12,We're giving our #GivingTuesday sweepstakes winners the social media spotlight today! Stay tuned to learn more about these organizations and the great work they do! #nonprofits https://t.co/hqhEvy0mVr
2018-11-26 19:25:05,We're excited to give our #GivingTuesday sweepstakes winners the social media spotlight tomorrow! Stay tuned to learn more about these great organizations! #nonprofits https://t.co/5zmAxfmAFC
2018-11-26 18:20:10,Searching for grants? Check out the latest #RFP list on PND https://t.co/ImT39Ud7Uz #nonprofit
2018-11-26 16:54:14,The Privilege of Not Listening: How International Support is Undermining the Sustainability of Local #CivilSociety https://t.co/R5vOpLPR3A @peacedirect @MeganRenoir @LINClocal #philanthropy
2018-11-26 16:05:10,"Are your #nonprofit board's governance functions, including job descriptions and annual plans, regularly examined and working effectively? Learn how to implement these tools to your advantage! https://t.co/MhFQtdsjgx #FCLearn @GrantSpace @GMesrob @SupportCenterNY @SC_Partnerships https://t.co/kLhd247Uji"
2018-11-26 13:01:45,Inspiration for your week! #MondayMotivation https://t.co/SUE56V4W1L
2018-11-25 21:55:10,"Join this webinar w/ @mstein63 @EveryActionHQ on expanding your digital fundraising capacity! Watch parties at Humboldt Area Fdn, San Mateo City Library, Sanford Institute @JFKUniv, @SBPLSystem &amp; @SantaMonicaLibr https://t.co/Mw22z5cYTK @FCSanFrancisco https://t.co/jGUfueolMX"
2018-11-25 19:05:06,Learn more about #philanthropy's work to #EndViolenceAgainstWomen here: https://t.co/G56SL2WG7V @fdncenter @hrfunders https://t.co/KY1248fKYe
2018-11-25 15:40:05,Job hunting? Check out the listings on PND's job board! https://t.co/hJXJkvNTfu #nonprofit #foundation #jobs
2018-11-24 20:40:04,"RT @BridgespanGroup: Four lessons for #nonprofits seeking to scale promising programs, from an organization still in the process: https://t.co/oB9MHDsLl2 https://t.co/2W3tw3h9PC"
2018-11-24 18:45:06,"Looking to cozy up with a good book this holiday weekend? Read anytime, anywhere. Check out our eBooks 24/7! https://t.co/8Q8xZyNGpl https://t.co/goxZyDtmrB"
2018-11-24 15:40:06,We're tracking institutional pledges and commitments to wildfire relief and recovery efforts. Here's what we know so far: https://t.co/w05IqHLRyg @pndblog #disasterrelief #CA https://t.co/UMOLd6lZoe
2018-11-23 16:30:28,"Read how an open #data approach, inspired by @macfound's #100andChange competition, could transform grantmaking in this article by our president, Brad Smith, in @SSIReview: https://t.co/onEmnNaPoC #philanthropy https://t.co/IkzYyrbZBw"
2018-11-22 20:35:04,What's new at Foundation Center? Lots! Check out all of our new resources and exciting upcoming events here: https://t.co/lEYXtqwfN4 #philanthropy #nonprofits https://t.co/WwqTjOpgdf
2018-11-22 16:30:33,"It’s the Season of Giving! We want to acknowledge and celebrate your contributions to the #socialsector, by providing our Online Proposal Writing Course at a discounted price! Register now! https://t.co/121O13XIB6 https://t.co/qJzF0Rx4Ed"
2018-11-21 21:25:05,"Happy holidays to all of our U.S. tweeps! Our offices, chat, and toll-free phone service are closed to the public and normal business hours will resume on Monday, 11/26. Thanks for your patience and have a wonderful week! https://t.co/tQXU0zf8ka"
2018-11-21 19:01:52,"We’re spotlighting Rebecca Stiles, our Controller, as this week’s #wcw! Rebecca leads efforts to maximize the effectiveness of our financial and operational systems. We're thrilled to have her on the Foundation Center team! #Nonprofits https://t.co/1lRp5gZMhf"
2018-11-21 16:55:09,Explore free resources on #fisheries and access the collective knowledge of organizations dedicated to protecting the ocean here: https://t.co/oYb4ekqliB #WorldFisheriesDay #FundtheOcean https://t.co/c7teoTBsx2
2018-11-21 13:40:05,Tactics for maximizing and maintaining cause marketing partnerships that result in fundraising success: https://t.co/7pX0YO8KNm #nonprofit https://t.co/CbpTLpTiT2
2018-11-21 08:55:04,Which #oceanfunders are protecting fisheries? Dive in https://t.co/igmRg1C1zS #WorldFisheriesDay #FundtheOcean https://t.co/jZExWW06Hz
2018-11-20 21:35:06,"To maximize impact, @BarrFdn aims to be #OpenForGood by producing and sharing insights. Learn more: https://t.co/5zD2XxJraX
@ybelanger @Glasspockets https://t.co/oowJ2B8cxk"
2018-11-20 18:35:07,"DYK 57% of funding for #ClimateAction goes to clean energy efforts, but only 3% goes to agriculture? Learn more about current trends in U.S. foundation support for climate action in this @pndblog series: https://t.co/0BkckTrBfJ #philanthropy https://t.co/b4W8O82QmE"
2018-11-20 16:35:05,"Read how an open #data approach, inspired by @macfound's #100andChange competition, could transform grantmaking in this article by our president, Brad Smith, in @SSIReview: https://t.co/onEmnNaPoC #philanthropy https://t.co/pSAWIS2fDq"
2018-11-20 13:35:04,"Looking to break into #causemarketing? Here's your chance to learn from a marketing expert to activate your own programs in the competitive consumer marketplace! Register, and earn 1.5 CFRE pts: https://t.co/xSwXHDEjXj #FCLearn @GrantSpace @GoCatalist's @Maureen_Carlson https://t.co/pVLku8FjkK"
2018-11-19 21:45:05,We're tracking institutional pledges and commitments to wildfire relief and recovery efforts. Here's what we know so far: https://t.co/w05IqHLRyg @pndblog #disasterrelief #CA https://t.co/vrfJEbyWj7
2018-11-19 20:55:06,Should we shift our thinking to start viewing waste as a resource? More in this @WASHfunders blog by @DanielDdiba:   https://t.co/0HiS6yaKlq #sanitation #WorldToiletDay https://t.co/hZex3yaa7l
