NTEE,Count,NTEE_Cat
X,145697,"Religion, Spiritual Development"
B,140238,Educational Institutions
P,111223,Human Services
T,89738,"Philanthropy, Voluntarism, and Grantmaking"
A,88939,"Arts, Culture, and Humanities"
N,81614,"Recreation, Sports, Leisure, Athletics"
S,54997,"Community Improvement, Capacity Building"
O,43804,Youth Development
E,37267,Health—General & Rehabilitative
D,29449,Animal related
L,24404,"Housing, Shelter"
W,22079,"Public, Society Benefit"
C,21736,"Environmental Quality Protection, Beautification"
Q,21112,"International, Foreign Affairs, and National Security"
Other,122069,Others
